BarLengthIndex,BarSizeVA_deg,StimulusGroup,Direction,CorrectTrials,TotalTrials,PctCorrect_pct,MeanRT_s
1,4.0000,ShortGroup,Right_0,0,0,NaN,NaN
1,4.0000,ShortGroup,Up_90,0,0,NaN,NaN
1,4.0000,ShortGroup,Left_180,0,0,NaN,NaN
1,4.0000,ShortGroup,Down_270,0,0,NaN,NaN
2,4.1000,ShortGroup,Right_0,0,0,NaN,NaN
2,4.1000,ShortGroup,Up_90,0,0,NaN,NaN
2,4.1000,ShortGroup,Left_180,0,0,NaN,NaN
2,4.1000,ShortGroup,Down_270,0,0,NaN,NaN
3,4.7000,ShortGroup,Right_0,1,1,100.0000,-1.4645
3,4.7000,ShortGroup,Up_90,0,1,0.0000,NaN
3,4.7000,ShortGroup,Left_180,0,0,NaN,NaN
3,4.7000,ShortGroup,Down_270,0,0,NaN,NaN
4,5.0000,ShortGroup,Right_0,0,0,NaN,NaN
4,5.0000,ShortGroup,Up_90,0,0,NaN,NaN
4,5.0000,ShortGroup,Left_180,0,0,NaN,NaN
4,5.0000,ShortGroup,Down_270,1,1,100.0000,-0.5378
5,5.1000,MidGroup,Right_0,0,0,NaN,NaN
5,5.1000,MidGroup,Up_90,0,0,NaN,NaN
5,5.1000,MidGroup,Left_180,0,0,NaN,NaN
5,5.1000,MidGroup,Down_270,0,0,NaN,NaN
6,5.7000,MidGroup,Right_0,0,0,NaN,NaN
6,5.7000,MidGroup,Up_90,0,0,NaN,NaN
6,5.7000,MidGroup,Left_180,1,1,100.0000,-0.5997
6,5.7000,MidGroup,Down_270,0,0,NaN,NaN
7,6.0000,MidGroup,Right_0,0,0,NaN,NaN
7,6.0000,MidGroup,Up_90,0,0,NaN,NaN
7,6.0000,MidGroup,Left_180,0,0,NaN,NaN
7,6.0000,MidGroup,Down_270,0,0,NaN,NaN
8,6.1000,MidGroup,Right_0,0,0,NaN,NaN
8,6.1000,MidGroup,Up_90,0,0,NaN,NaN
8,6.1000,MidGroup,Left_180,0,0,NaN,NaN
8,6.1000,MidGroup,Down_270,1,1,100.0000,-0.8534
9,6.7000,LongGroup,Right_0,0,0,NaN,NaN
9,6.7000,LongGroup,Up_90,0,0,NaN,NaN
9,6.7000,LongGroup,Left_180,0,0,NaN,NaN
9,6.7000,LongGroup,Down_270,0,0,NaN,NaN
10,7.0000,LongGroup,Right_0,0,0,NaN,NaN
10,7.0000,LongGroup,Up_90,1,1,100.0000,0.5698
10,7.0000,LongGroup,Left_180,0,0,NaN,NaN
10,7.0000,LongGroup,Down_270,0,0,NaN,NaN
11,7.6000,LongGroup,Right_0,0,0,NaN,NaN
11,7.6000,LongGroup,Up_90,0,0,NaN,NaN
11,7.6000,LongGroup,Left_180,1,1,100.0000,-0.3818
11,7.6000,LongGroup,Down_270,1,1,100.0000,-0.9641
12,7.8000,LongGroup,Right_0,0,0,NaN,NaN
12,7.8000,LongGroup,Up_90,0,0,NaN,NaN
12,7.8000,LongGroup,Left_180,0,0,NaN,NaN
12,7.8000,LongGroup,Down_270,0,0,NaN,NaN
