BarLengthIndex,BarSizeVA_deg,StimulusGroup,Direction,CorrectTrials,TotalTrials,PctCorrect_pct
1,4.0000,ShortGroup,Right_0,5,6,83.3333
1,4.0000,ShortGroup,Up_90,6,7,85.7143
1,4.0000,ShortGroup,Left_180,6,7,85.7143
1,4.0000,ShortGroup,Down_270,7,7,100.0000
2,4.1000,ShortGroup,Right_0,6,6,100.0000
2,4.1000,ShortGroup,Up_90,7,7,100.0000
2,4.1000,ShortGroup,Left_180,6,6,100.0000
2,4.1000,ShortGroup,Down_270,7,7,100.0000
3,4.7000,ShortGroup,Right_0,6,6,100.0000
3,4.7000,ShortGroup,Up_90,5,6,83.3333
3,4.7000,ShortGroup,Left_180,7,7,100.0000
3,4.7000,ShortGroup,Down_270,6,6,100.0000
4,5.0000,ShortGroup,Right_0,4,7,57.1429
4,5.0000,ShortGroup,Up_90,3,7,42.8571
4,5.0000,ShortGroup,Left_180,3,6,50.0000
4,5.0000,ShortGroup,Down_270,3,6,50.0000
5,5.1000,MidGroup,Right_0,2,6,33.3333
5,5.1000,MidGroup,Up_90,5,7,71.4286
5,5.1000,MidGroup,Left_180,1,6,16.6667
5,5.1000,MidGroup,Down_270,3,7,42.8571
6,5.7000,MidGroup,Right_0,1,6,16.6667
6,5.7000,MidGroup,Up_90,3,5,60.0000
6,5.7000,MidGroup,Left_180,1,5,20.0000
6,5.7000,MidGroup,Down_270,2,7,28.5714
7,6.0000,MidGroup,Right_0,2,7,28.5714
7,6.0000,MidGroup,Up_90,4,6,66.6667
7,6.0000,MidGroup,Left_180,3,7,42.8571
7,6.0000,MidGroup,Down_270,4,6,66.6667
8,6.1000,MidGroup,Right_0,4,6,66.6667
8,6.1000,MidGroup,Up_90,4,6,66.6667
8,6.1000,MidGroup,Left_180,5,6,83.3333
8,6.1000,MidGroup,Down_270,6,7,85.7143
9,6.7000,LongGroup,Right_0,7,7,100.0000
9,6.7000,LongGroup,Up_90,6,7,85.7143
9,6.7000,LongGroup,Left_180,6,6,100.0000
9,6.7000,LongGroup,Down_270,7,7,100.0000
10,7.0000,LongGroup,Right_0,5,5,100.0000
10,7.0000,LongGroup,Up_90,7,7,100.0000
10,7.0000,LongGroup,Left_180,7,7,100.0000
10,7.0000,LongGroup,Down_270,6,6,100.0000
11,7.6000,LongGroup,Right_0,7,7,100.0000
11,7.6000,LongGroup,Up_90,7,7,100.0000
11,7.6000,LongGroup,Left_180,6,6,100.0000
11,7.6000,LongGroup,Down_270,6,7,85.7143
12,7.8000,LongGroup,Right_0,6,6,100.0000
12,7.8000,LongGroup,Up_90,6,6,100.0000
12,7.8000,LongGroup,Left_180,6,6,100.0000
12,7.8000,LongGroup,Down_270,6,6,100.0000
